,TCD_ID,DESCRIPTION,URL,STATUS,Test_Complexity,Test_Coverage_Level
0,14013176932,Verify SATA Thermal Throttling support for each port with SATA SSD,https://hsdes.intel.com/appstore/article/#/14013176932,,High,L3 Extended-BAT-FV
1,14013175753,Verify staggered Spin up feature in SATA configuration after S3 and S4 cycle,https://hsdes.intel.com/appstore/article/#/14013175753,,High,L3 Extended-BAT-FV
2,14013164150,Verify BIOS  Debug settings passed as part of a Debug Token Via Dnx Mode,https://hsdes.intel.com/appstore/article/#/14013164150,,High,L4 Extended-FV
3,14013175897,"Verify Hot plugging of SATA-HDD during Sx mode, resume and check enumeration in Device manager",https://hsdes.intel.com/appstore/article/#/14013175897,,Low,L3 Extended-BAT-FV
4,14013179099,Verify display check on HDMI when connected via DP 1.2 to HDMI dongle,https://hsdes.intel.com/appstore/article/#/14013179099,,Low,L3 Extended-BAT-FV
5,14013165547,Verify VPD SPCD enabling Via Patch file using SBC TOOL,https://hsdes.intel.com/appstore/article/#/14013165547,,Medium,L3 Extended-BAT-FV
6,14013167036,BIOS should skip OPROM code during fast boot if device associated with OPROM is not present,https://hsdes.intel.com/appstore/article/#/14013167036,,Low,L3 Extended-BAT-FV
7,14013115275,"Verify concurrent support of USB2.0/3.0 mass storage and USB keyboard/mouse device functionality check over USB Type-A port across Sx (S3,S4,S5)_x000D_
 cycles",https://hsdes.intel.com/appstore/article/#/14013115275,,High,L4 Extended-FV
8,14013120937,Verify options provided for PCI Express Configuration in BIOS,https://hsdes.intel.com/appstore/article/#/14013120937,,Medium,L4 Extended-FV
9,14013156736,Verify _DSD method for D3 with NVMe connected to M.2 CPU slot  in AHCI mode,https://hsdes.intel.com/appstore/article/#/14013156736,,Medium,L3 Extended-BAT-FV
10,14013157667,Verify BIOS support for AVX3 ratio offset with and without ATOM cores enabled,https://hsdes.intel.com/appstore/article/#/14013157667,,Low,L3 Extended-BAT-FV
11,14013157826,Verify that GPIO devices are enumerated properly on the SUT,https://hsdes.intel.com/appstore/article/#/14013157826,,High,L3 Extended-BAT-FV
12,14013158290,"Verify devices (M.2 SATA SSD, WiFi, BT, Camera, Touch Panel) are entering to RTD3 cold state",https://hsdes.intel.com/appstore/article/#/14013158290,,Low,L3 Extended-BAT-FV
13,14013159027,"Verify SUT wake from S3,S4 using Type-C dock connected over Discrete Type-C port",https://hsdes.intel.com/appstore/article/#/14013159027,,High,L3 Extended-BAT-FV
14,14013160683,ISH Sensor Functionality pre and post Connected Standby (CMS) cycle- Barometric Pressure,https://hsdes.intel.com/appstore/article/#/14013160683,,Low,L3 Extended-BAT-FV
15,14013161283,Validate SUT wake from S0i3 Using USB-LAN,https://hsdes.intel.com/appstore/article/#/14013161283,,Low,L3 Extended-BAT-FV
